crit,folder,typ,m,n,N,seed,bos_lb,t0,bnb_lb,oa_lb
E,optimized,independent,80,8,24,1,-2.561199640561941,698.0,-2.501156,-2.819264
E,optimized,independent,80,8,24,2,-2.161486141868317,1831.0,-2.091192,-2.488336
E,optimized,independent,80,8,24,3,-2.197017750323354,13998.0,-2.136317,-2.533733
E,optimized,independent,80,8,24,4,-2.2946520393305203,1522.0,-2.224097,-2.684748
E,optimized,independent,80,8,24,5,-2.232681210763438,12766.0,-2.172534,-2.694461
E,optimized,independent,100,10,15,1,-1.2551402463667014,1456.0,-1.234611,-1.600378
E,optimized,independent,100,10,15,2,-1.1837424530572005,951.0,-1.164669,-1.649629
E,optimized,independent,100,10,15,3,-1.3672728223704809,2093.0,-1.348838,-1.786727
E,optimized,independent,100,10,15,4,-1.402875304413211,1141.0,-1.386793,-1.763576
E,optimized,independent,100,10,15,5,-1.3136721199638635,1589.0,-1.294599,-2.105807
E,optimized,independent,100,10,34,1,-2.7989667684984982,1430.0,-2.662759,-3.534094
E,optimized,independent,100,10,34,2,-2.5976320668139947,855.0,-2.471507,-3.04565
E,optimized,independent,100,10,34,3,-3.0346992000710777,2299.0,-2.952093,-3.352451
E,optimized,independent,100,10,34,4,-3.1663166959628954,876.0,-3.088292,-3.538959
E,optimized,independent,100,10,34,5,-2.9227669525669513,4775.0,-2.814047,-3.575868
E,optimized,independent,120,10,15,1,-1.5007082782592611,1940.0,-1.48694,-1.972058
E,optimized,independent,120,10,15,2,-1.3249728354782517,13256.0,-1.310811,-1.836812
E,optimized,independent,120,10,15,3,-1.4266236323581662,12662.0,-1.410872,-1.874491
E,optimized,independent,120,10,15,4,-1.346504058661542,1645.0,-1.328796,-1.8115
E,optimized,independent,120,10,15,5,-1.5241230140966313,1074.0,-1.504921,-1.986607
E,optimized,independent,120,10,34,1,-3.2964685523333106,12081.0,-3.214735,-3.809839
E,optimized,independent,120,10,34,2,-2.9840884546130635,800.0,-2.898279,-3.485015
E,optimized,independent,120,10,34,3,-3.1974497293203528,1163.0,-3.106402,-3.501234
E,optimized,independent,120,10,34,4,-3.023459733836902,1812.0,-2.943561,-3.471447
E,optimized,independent,120,10,34,5,-3.369061434394993,11373.0,-3.254542,-3.840475
E,optimized,independent,150,12,18,1,-1.6253870666635215,1967.0,-1.606652,-2.129426
E,optimized,independent,150,12,18,2,-1.6175206244283777,1570.0,-1.597596,-2.135358
E,optimized,independent,150,12,18,3,-1.6249380060578975,1189.0,-1.607077,-2.136404
E,optimized,independent,150,12,18,4,-1.545743105718355,1560.0,-1.526707,-2.142374
E,optimized,independent,150,12,18,5,-1.6945959793478376,2139.0,-1.675009,-2.281165
E,optimized,independent,150,12,44,1,-3.92310504131993,1339.0,-3.792166,-4.619032
E,optimized,independent,150,12,44,2,-3.8630243775114534,1931.0,-3.745645,-4.300399
E,optimized,independent,150,12,44,3,-3.956478536916642,982.0,-3.827163,-4.569957
E,optimized,independent,150,12,44,4,-3.734942403135564,733.0,-3.59359,-4.627015
E,optimized,independent,150,12,44,5,-4.041917861554429,3915.0,-3.914759,-4.967239
E,optimized,correlated,50,7,10,1,-40.597892782844426,1853.0,-40.19008,-60.76848
E,optimized,correlated,50,7,10,2,-30.09354702764171,1485.0,-29.64576,-34.85951
E,optimized,correlated,50,7,10,3,-41.06685786960657,1029.0,-40.41073,-63.62778
E,optimized,correlated,50,7,10,4,-29.1657668833732,2197.0,-28.79535,-43.8909
E,optimized,correlated,50,7,10,5,-43.98081772133693,1649.0,-43.42921,-71.77555
E,optimized,correlated,50,7,20,1,-74.7794161718051,9786.0,-70.98477,-84.69968
E,optimized,correlated,50,7,20,2,-54.35224630934088,11534.0,-51.39256,-63.11326
E,optimized,correlated,50,7,20,3,-69.75677058522656,1337.0,-68.30835,-97.26709
E,optimized,correlated,50,7,20,4,-54.475255929664634,14039.0,-51.26241,-59.12336
E,optimized,correlated,50,7,20,5,-78.42954746735336,2300.0,-74.76799,-85.10806
E,optimized,correlated,80,8,12,1,-89.66984359889399,710.0,-88.82593,-125.616
E,optimized,correlated,80,8,12,2,-58.78232264069164,13431.0,-58.10745,-88.48366
E,optimized,correlated,80,8,12,3,-59.0250816701936,2182.0,-57.94501,-89.51098
E,optimized,correlated,80,8,12,4,-88.17970082420052,1422.0,-87.05968,-159.7255
E,optimized,correlated,80,8,12,5,-83.42390107957802,1408.0,-82.4589,-122.0045
E,optimized,correlated,80,8,24,1,-163.4323793536919,884.0,-155.9369,-188.4846
E,optimized,correlated,80,8,24,2,-108.53046562929065,2612.0,-101.8663,-141.2022
E,optimized,correlated,80,8,24,3,-113.31586645872903,1391.0,-106.5691,-167.2361
E,optimized,correlated,80,8,24,4,-152.28048930343311,2705.0,-145.4763,-175.4329
E,optimized,correlated,80,8,24,5,-154.84218392309316,2972.0,-148.481,-184.7774
E,optimized,correlated,100,10,15,1,-130.52960753382962,1841.0,-129.196,
E,optimized,correlated,100,10,15,2,-100.49384048069852,1680.0,-99.23076,
E,optimized,correlated,100,10,15,3,-120.74957167800724,1894.0,-119.6063,
E,optimized,correlated,100,10,15,4,-148.97264546343683,2269.0,-147.0716,
E,optimized,correlated,100,10,15,5,-112.89431460953712,2642.0,-111.6443,
E,optimized,correlated,100,10,34,1,-275.28436696274537,2015.0,-262.1183,-308.4163
E,optimized,correlated,100,10,34,2,-204.7530878635259,1888.0,-193.3089,-275.7456
E,optimized,correlated,100,10,34,3,-239.41892265743962,1938.0,-228.3672,-314.2386
E,optimized,correlated,100,10,34,4,-329.71030471183855,885.0,-316.0688,-382.1575
E,optimized,correlated,100,10,34,5,-243.74672231076514,12578.0,-230.7152,-279.243
E,optimized,correlated,120,10,15,1,-170.43948995655057,15320.0,-169.0861,
E,optimized,correlated,120,10,15,2,-142.39806405458194,1729.0,-140.7072,
E,optimized,correlated,120,10,15,3,-154.29396484052705,1910.0,-152.5761,
E,optimized,correlated,120,10,15,4,-199.14106322815343,1745.0,-197.8433,
E,optimized,correlated,120,10,15,5,-160.82334422799335,2879.0,-159.7706,
E,optimized,correlated,120,10,34,1,-365.96037422738425,2438.0,-353.4027,-469.4368
E,optimized,correlated,120,10,34,2,-303.2564015578246,1066.0,-290.5394,-353.007
E,optimized,correlated,120,10,34,3,-322.6295212647565,990.0,-308.0323,-388.2645
E,optimized,correlated,120,10,34,4,-434.5273202804157,2296.0,-421.9031,-490.1044
