seed,numberOfExperiments,numberOfParameters,time,N,solution,dual_bound,rel_gap,scaled_solution,termination,feasible,n_nodes,n_cuts_found,n_cuts_applied,n_sdp_iters
1,120,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
2,120,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
3,120,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
4,120,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
5,120,10,3600.0,34,Inf,Inf,Inf,Inf,ERROR,false,0,0,0,0
1,150,12,3600.000218,9,0.0,105.9988521064608,1.0e20,5.483448620877038e-14,TIME_LIMIT,true,4319,668676,122725,0
2,150,12,3600.000309,9,0.0,93.35939109503809,1.0e20,-1.5295875019292993e-13,TIME_LIMIT,true,5856,1600692,200870,0
3,150,12,3600.000222,9,0.0,87.85099920677835,1.0e20,9.590853456385059e-13,TIME_LIMIT,true,3736,558134,94455,0
4,150,12,3600.000186,9,0.0,83.08300624130553,1.0e20,2.789797956293167e-13,TIME_LIMIT,true,2901,490128,154916,0
5,150,12,3600.002049,9,0.0,78.93520532528349,1.0e20,1.6850688810993044e-13,TIME_LIMIT,true,7242,1383797,423694,0
1,150,12,3600.000466,18,132.44072723579845,199.81719990622736,0.5087292562994715,-132.44072723579743,TIME_LIMIT,true,10884,1664354,354325,0
2,150,12,3600.000926,18,110.21776324332127,183.9854858293851,0.6692906879557261,-110.21776324332123,TIME_LIMIT,true,20793,3238305,743880,0
3,150,12,3600.000519,18,109.22661972975757,189.9703706506309,0.7392314357126957,-109.22661972975772,TIME_LIMIT,true,16216,2609312,588783,0
4,150,12,3600.0003,18,113.87088840588936,192.5072240229421,0.6905745332973594,-113.87088840588927,TIME_LIMIT,true,6490,1144091,80036,0
5,150,12,3600.000249,18,121.90756076537701,204.17931132265164,0.6748699591784519,-121.90756076537643,TIME_LIMIT,true,9713,1230762,105937,0
1,150,12,3601.865398,44,454.14879354736297,503.3132609588202,0.1082562986184172,-454.1487935473614,TIME_LIMIT,true,61306,4747055,785964,0
2,150,12,3600.00349,44,425.03738028534235,450.12693539018613,0.05902905548683811,-425.03738028534434,TIME_LIMIT,true,69192,5506870,751379,0
3,150,12,3600.000351,44,465.1206541959262,491.6514019647544,0.05704057114963657,-465.12065419592693,TIME_LIMIT,true,19331,1026664,82849,0
4,150,12,3600.001526,44,394.4367625789328,420.9354926922142,0.06718118752427038,-394.4367625789328,TIME_LIMIT,true,37886,2896778,308590,0
5,150,12,3600.002751,44,457.62840183319054,496.02002753989956,0.0838925764941991,-457.6284018331909,TIME_LIMIT,true,62640,5334493,825537,0
